"id","country_id","season","stage","date","match_api_id","home_team_api_id","away_team_api_id","home_team_goal","away_team_goal","league_name","country_name","home_team_ln","home_team_sn","away_team_ln","away_team_sn","match_winner_id","match_winner"
1,1,"2008/2009",1,"2008-08-17 00:00:00",492473,9987,9993,1,1,"Belgium Jupiler League","Belgium","KRC Genk","GEN","Beerschot AC","BAC",0,"draw"
2,1,"2008/2009",1,"2008-08-16 00:00:00",492474,10000,9994,0,0,"Belgium Jupiler League","Belgium","SV Zulte-Waregem","ZUL","Sporting Lokeren","LOK",0,"draw"
3,1,"2008/2009",1,"2008-08-16 00:00:00",492475,9984,8635,0,3,"Belgium Jupiler League","Belgium","KSV Cercle Brugge","CEB","RSC Anderlecht","AND",8635,"AND"
4,1,"2008/2009",1,"2008-08-17 00:00:00",492476,9991,9998,5,0,"Belgium Jupiler League","Belgium","KAA Gent","GEN","RAEC Mons","MON",9991,"GEN"
5,1,"2008/2009",1,"2008-08-16 00:00:00",492477,7947,9985,1,3,"Belgium Jupiler League","Belgium","FCV Dender EH","DEN","Standard de Liège","STL",9985,"STL"
6,1,"2008/2009",1,"2008-09-24 00:00:00",492478,8203,8342,1,1,"Belgium Jupiler League","Belgium","KV Mechelen","MEC","Club Brugge KV","CLB",0,"draw"
7,1,"2008/2009",1,"2008-08-16 00:00:00",492479,9999,8571,2,2,"Belgium Jupiler League","Belgium","KSV Roeselare","ROS","KV Kortrijk","KOR",0,"draw"
8,1,"2008/2009",1,"2008-08-16 00:00:00",492480,4049,9996,1,2,"Belgium Jupiler League","Belgium","Tubize","TUB","Royal Excel Mouscron","MOU",9996,"MOU"
9,1,"2008/2009",1,"2008-08-16 00:00:00",492481,10001,9986,1,0,"Belgium Jupiler League","Belgium","KVC Westerlo","WES","Sporting Charleroi","CHA",10001,"WES"
10,1,"2008/2009",10,"2008-11-01 00:00:00",492564,8342,8571,4,1,"Belgium Jupiler League","Belgium","Club Brugge KV","CLB","KV Kortrijk","KOR",8342,"CLB"
11,1,"2008/2009",10,"2008-10-31 00:00:00",492565,9985,9986,1,2,"Belgium Jupiler League","Belgium","Standard de Liège","STL","Sporting Charleroi","CHA",9986,"CHA"
12,1,"2008/2009",10,"2008-11-02 00:00:00",492566,10000,9991,0,2,"Belgium Jupiler League","Belgium","SV Zulte-Waregem","ZUL","KAA Gent","GEN",9991,"GEN"
13,1,"2008/2009",10,"2008-11-01 00:00:00",492567,9994,9998,0,0,"Belgium Jupiler League","Belgium","Sporting Lokeren","LOK","RAEC Mons","MON",0,"draw"
14,1,"2008/2009",10,"2008-11-01 00:00:00",492568,7947,10001,2,2,"Belgium Jupiler League","Belgium","FCV Dender EH","DEN","KVC Westerlo","WES",0,"draw"
15,1,"2008/2009",10,"2008-11-01 00:00:00",492569,8203,9999,1,2,"Belgium Jupiler League","Belgium","KV Mechelen","MEC","KSV Roeselare","ROS",9999,"ROS"
16,1,"2008/2009",10,"2008-11-01 00:00:00",492570,9996,9984,0,1,"Belgium Jupiler League","Belgium","Royal Excel Mouscron","MOU","KSV Cercle Brugge","CEB",9984,"CEB"
17,1,"2008/2009",10,"2008-11-01 00:00:00",492571,4049,9987,1,3,"Belgium Jupiler League","Belgium","Tubize","TUB","KRC Genk","GEN",9987,"GEN"
18,1,"2008/2009",10,"2008-11-02 00:00:00",492572,9993,8635,1,3,"Belgium Jupiler League","Belgium","Beerschot AC","BAC","RSC Anderlecht","AND",8635,"AND"
19,1,"2008/2009",11,"2008-11-08 00:00:00",492573,8635,9994,2,3,"Belgium Jupiler League","Belgium","RSC Anderlecht","AND","Sporting Lokeren","LOK",9994,"LOK"
20,1,"2008/2009",11,"2008-11-08 00:00:00",492574,9998,9996,0,0,"Belgium Jupiler League","Belgium","RAEC Mons","MON","Royal Excel Mouscron","MOU",0,"draw"
21,1,"2008/2009",11,"2008-11-09 00:00:00",492575,9986,8342,2,2,"Belgium Jupiler League","Belgium","Sporting Charleroi","CHA","Club Brugge KV","CLB",0,"draw"
22,1,"2008/2009",11,"2008-11-07 00:00:00",492576,9984,10000,2,0,"Belgium Jupiler League","Belgium","KSV Cercle Brugge","CEB","SV Zulte-Waregem","ZUL",9984,"CEB"
23,1,"2008/2009",11,"2008-11-08 00:00:00",492577,9991,7947,1,1,"Belgium Jupiler League","Belgium","KAA Gent","GEN","FCV Dender EH","DEN",0,"draw"
24,1,"2008/2009",11,"2008-11-08 00:00:00",492578,9999,4049,1,2,"Belgium Jupiler League","Belgium","KSV Roeselare","ROS","Tubize","TUB",4049,"TUB"
25,1,"2008/2009",11,"2008-11-08 00:00:00",492579,8571,8203,0,0,"Belgium Jupiler League","Belgium","KV Kortrijk","KOR","KV Mechelen","MEC",0,"draw"
26,1,"2008/2009",11,"2008-11-08 00:00:00",492580,10001,9987,1,0,"Belgium Jupiler League","Belgium","KVC Westerlo","WES","KRC Genk","GEN",10001,"WES"
27,1,"2008/2009",11,"2008-11-09 00:00:00",492581,9993,9985,1,3,"Belgium Jupiler League","Belgium","Beerschot AC","BAC","Standard de Liège","STL",9985,"STL"
28,1,"2008/2009",12,"2008-11-16 00:00:00",492582,8342,8635,1,1,"Belgium Jupiler League","Belgium","Club Brugge KV","CLB","RSC Anderlecht","AND",0,"draw"
29,1,"2008/2009",12,"2008-11-15 00:00:00",492583,9987,9999,1,1,"Belgium Jupiler League","Belgium","KRC Genk","GEN","KSV Roeselare","ROS",0,"draw"
30,1,"2008/2009",12,"2008-11-15 00:00:00",492584,10000,9993,2,2,"Belgium Jupiler League","Belgium","SV Zulte-Waregem","ZUL","Beerschot AC","BAC",0,"draw"
31,1,"2008/2009",12,"2008-11-16 00:00:00",492585,9994,9985,1,1,"Belgium Jupiler League","Belgium","Sporting Lokeren","LOK","Standard de Liège","STL",0,"draw"
32,1,"2008/2009",12,"2008-11-15 00:00:00",492586,7947,8571,1,0,"Belgium Jupiler League","Belgium","FCV Dender EH","DEN","KV Kortrijk","KOR",7947,"DEN"
33,1,"2008/2009",12,"2008-11-15 00:00:00",492587,8203,9998,0,0,"Belgium Jupiler League","Belgium","KV Mechelen","MEC","RAEC Mons","MON",0,"draw"
34,1,"2008/2009",12,"2008-11-15 00:00:00",492588,9996,9986,2,1,"Belgium Jupiler League","Belgium","Royal Excel Mouscron","MOU","Sporting Charleroi","CHA",9996,"MOU"
35,1,"2008/2009",12,"2008-11-15 00:00:00",492589,4049,9984,3,0,"Belgium Jupiler League","Belgium","Tubize","TUB","KSV Cercle Brugge","CEB",4049,"TUB"
