"team_api_id","team_fifa_api_id","team_long_name","team_short_name","id","date","buildupplayspeed","buildupplayspeedclass","buildupplaydribbling","buildupplaydribblingclass","buildupplaypassing","buildupplaypassingclass","buildupplaypositioningclass","chancecreationpassing","chancecreationpassingclass","chancecreationcrossing","chancecreationcrossingclass","chancecreationshooting","chancecreationshootingclass","chancecreationpositioningclass","defencepressure","defencepressureclass","defenceaggression","defenceaggressionclass","defenceteamwidth","defenceteamwidthclass","defencedefenderlineclass"
9930,434,"FC Aarau","AAR",1,"2010-02-22 00:00:00",60,"Balanced",NULL,"Little",50,"Mixed","Organised",60,"Normal",65,"Normal",55,"Normal","Organised",50,"Medium",55,"Press",45,"Normal","Cover"
9930,434,"FC Aarau","AAR",2,"2014-09-19 00:00:00",52,"Balanced",48,"Normal",56,"Mixed","Organised",54,"Normal",63,"Normal",64,"Normal","Organised",47,"Medium",44,"Press",54,"Normal","Cover"
9930,434,"FC Aarau","AAR",3,"2015-09-10 00:00:00",47,"Balanced",41,"Normal",54,"Mixed","Organised",54,"Normal",63,"Normal",64,"Normal","Organised",47,"Medium",44,"Press",54,"Normal","Cover"
8485,77,"Aberdeen","ABE",4,"2010-02-22 00:00:00",70,"Fast",NULL,"Little",70,"Long","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",60,"Medium",70,"Double",70,"Wide","Cover"
8485,77,"Aberdeen","ABE",5,"2011-02-22 00:00:00",47,"Balanced",NULL,"Little",52,"Mixed","Organised",53,"Normal",48,"Normal",52,"Normal","Organised",47,"Medium",47,"Press",52,"Normal","Cover"
8485,77,"Aberdeen","ABE",6,"2012-02-22 00:00:00",58,"Balanced",NULL,"Little",62,"Mixed","Organised",45,"Normal",70,"Lots",55,"Normal","Organised",40,"Medium",40,"Press",60,"Normal","Cover"
8485,77,"Aberdeen","ABE",7,"2013-09-20 00:00:00",62,"Balanced",NULL,"Little",45,"Mixed","Organised",40,"Normal",50,"Normal",55,"Normal","Organised",42,"Medium",42,"Press",60,"Normal","Cover"
8485,77,"Aberdeen","ABE",8,"2014-09-19 00:00:00",58,"Balanced",64,"Normal",62,"Mixed","Organised",56,"Normal",68,"Lots",57,"Normal","Organised",41,"Medium",42,"Press",60,"Normal","Cover"
8485,77,"Aberdeen","ABE",9,"2015-09-10 00:00:00",59,"Balanced",64,"Normal",53,"Mixed","Organised",51,"Normal",72,"Lots",63,"Normal","Free Form",49,"Medium",45,"Press",63,"Normal","Cover"
8576,614,"AC Ajaccio","AJA",10,"2010-02-22 00:00:00",60,"Balanced",NULL,"Little",40,"Mixed","Organised",45,"Normal",35,"Normal",55,"Normal","Organised",30,"Deep",70,"Double",30,"Narrow","Offside Trap"
8576,614,"AC Ajaccio","AJA",11,"2011-02-22 00:00:00",65,"Balanced",NULL,"Little",45,"Mixed","Organised",65,"Normal",65,"Normal",50,"Normal","Organised",45,"Medium",45,"Press",50,"Normal","Cover"
8576,614,"AC Ajaccio","AJA",12,"2012-02-22 00:00:00",59,"Balanced",NULL,"Little",52,"Mixed","Organised",48,"Normal",34,"Normal",52,"Normal","Organised",38,"Medium",47,"Press",53,"Normal","Cover"
